Data,Hora,Planta,Sensor,Umidade_Solo (%),Temperatura_Ar (°C),Umidade_Ar (%)
2024-12-01,04:00:00,Alface Roxa,1,51.49,21.49,80.47
2024-12-01,04:00:00,Rúcula,2,51.28,21.49,80.47
2024-12-01,04:00:00,Cebolinha,3,51.42,21.49,80.47
2024-12-01,04:00:00,Couve,4,51.25,21.49,80.47
2024-12-01,04:30:00,Alface Roxa,1,51.58,21.52,87.75
2024-12-01,04:30:00,Rúcula,2,51.35,21.52,87.75
2024-12-01,04:30:00,Cebolinha,3,51.46,21.52,87.75
2024-12-01,04:30:00,Couve,4,51.37,21.52,87.75
2024-12-01,05:00:00,Alface Roxa,1,51.61,20.96,76.38
2024-12-01,05:00:00,Rúcula,2,51.4,20.96,76.38
2024-12-01,05:00:00,Cebolinha,3,51.55,20.96,76.38
2024-12-01,05:00:00,Couve,4,51.44,20.96,76.38
2024-12-01,05:30:00,Alface Roxa,1,51.65,21.74,89.26
2024-12-01,05:30:00,Rúcula,2,51.44,21.74,89.26
2024-12-01,05:30:00,Cebolinha,3,51.61,21.74,89.26
2024-12-01,05:30:00,Couve,4,51.46,21.74,89.26
2024-12-01,06:00:00,Alface Roxa,1,51.69,24.62,71.15
2024-12-01,06:00:00,Rúcula,2,51.48,24.62,71.15
2024-12-01,06:00:00,Cebolinha,3,51.66,24.62,71.15
2024-12-01,06:00:00,Couve,4,51.48,24.62,71.15
2024-12-01,06:30:00,Alface Roxa,1,51.71,23.39,64.51
2024-12-01,06:30:00,Rúcula,2,51.5,23.39,64.51
2024-12-01,06:30:00,Cebolinha,3,51.67,23.39,64.51
2024-12-01,06:30:00,Couve,4,51.51,23.39,64.51
2024-12-01,07:00:00,Alface Roxa,1,79.56,23.38,77.39
2024-12-01,07:00:00,Rúcula,2,76.58,23.38,77.39
2024-12-01,07:00:00,Cebolinha,3,88.47,23.38,77.39
2024-12-01,07:00:00,Couve,4,88.67,23.38,77.39
2024-12-01,07:30:00,Alface Roxa,1,79.51,24.24,62.42
2024-12-01,07:30:00,Rúcula,2,76.52,24.24,62.42
2024-12-01,07:30:00,Cebolinha,3,88.37,24.24,62.42
2024-12-01,07:30:00,Couve,4,88.62,24.24,62.42
2024-12-01,08:00:00,Alface Roxa,1,79.33,24.2,71.62
2024-12-01,08:00:00,Rúcula,2,76.35,24.2,71.62
2024-12-01,08:00:00,Cebolinha,3,88.22,24.2,71.62
2024-12-01,08:00:00,Couve,4,88.47,24.2,71.62
2024-12-01,08:30:00,Alface Roxa,1,79.07,23.39,67.29
2024-12-01,08:30:00,Rúcula,2,76.08,23.39,67.29
2024-12-01,08:30:00,Cebolinha,3,87.93,23.39,67.29
2024-12-01,08:30:00,Couve,4,88.2,23.39,67.29
2024-12-01,09:00:00,Alface Roxa,1,78.81,24.13,74.63
2024-12-01,09:00:00,Rúcula,2,75.81,24.13,74.63
2024-12-01,09:00:00,Cebolinha,3,87.72,24.13,74.63
2024-12-01,09:00:00,Couve,4,87.87,24.13,74.63
2024-12-01,09:30:00,Alface Roxa,1,78.42,23.36,79.15
2024-12-01,09:30:00,Rúcula,2,75.34,23.36,79.15
2024-12-01,09:30:00,Cebolinha,3,87.38,23.36,79.15
2024-12-01,09:30:00,Couve,4,87.39,23.36,79.15
2024-12-01,10:00:00,Alface Roxa,1,77.97,23.98,65.76
2024-12-01,10:00:00,Rúcula,2,74.86,23.98,65.76
2024-12-01,10:00:00,Cebolinha,3,86.96,23.98,65.76
2024-12-01,10:00:00,Couve,4,86.85,23.98,65.76
2024-12-01,10:30:00,Alface Roxa,1,77.48,24.32,62.69
2024-12-01,10:30:00,Rúcula,2,74.39,24.32,62.69
2024-12-01,10:30:00,Cebolinha,3,86.33,24.32,62.69
2024-12-01,10:30:00,Couve,4,86.21,24.32,62.69
2024-12-01,11:00:00,Alface Roxa,1,76.99,23.16,77.55
2024-12-01,11:00:00,Rúcula,2,73.76,23.16,77.55
2024-12-01,11:00:00,Cebolinha,3,85.88,23.16,77.55
2024-12-01,11:00:00,Couve,4,85.72,23.16,77.55
2024-12-01,11:30:00,Alface Roxa,1,76.53,24.47,76.76
2024-12-01,11:30:00,Rúcula,2,73.08,24.47,76.76
2024-12-01,11:30:00,Cebolinha,3,85.25,24.47,76.76
2024-12-01,11:30:00,Couve,4,84.87,24.47,76.76
2024-12-01,12:00:00,Alface Roxa,1,75.85,23.42,52.63
2024-12-01,12:00:00,Rúcula,2,72.15,23.42,52.63
2024-12-01,12:00:00,Cebolinha,3,84.56,23.42,52.63
2024-12-01,12:00:00,Couve,4,84.36,23.42,52.63
2024-12-01,12:30:00,Alface Roxa,1,73.69,25.73,53.52
2024-12-01,12:30:00,Rúcula,2,70.66,25.73,53.52
2024-12-01,12:30:00,Cebolinha,3,83.21,25.73,53.52
2024-12-01,12:30:00,Couve,4,82.53,25.73,53.52
2024-12-01,13:00:00,Alface Roxa,1,72.46,26.31,56.71
2024-12-01,13:00:00,Rúcula,2,68.92,26.31,56.71
2024-12-01,13:00:00,Cebolinha,3,81.14,26.31,56.71
2024-12-01,13:00:00,Couve,4,81.33,26.31,56.71
2024-12-01,13:30:00,Alface Roxa,1,71.53,23.81,46.67
2024-12-01,13:30:00,Rúcula,2,68.07,23.81,46.67
2024-12-01,13:30:00,Cebolinha,3,80.33,23.81,46.67
2024-12-01,13:30:00,Couve,4,80.67,23.81,46.67
2024-12-01,14:00:00,Alface Roxa,1,69.12,25.6,55.57
2024-12-01,14:00:00,Rúcula,2,65.88,25.6,55.57
2024-12-01,14:00:00,Cebolinha,3,78.6,25.6,55.57
2024-12-01,14:00:00,Couve,4,78.21,25.6,55.57
2024-12-01,14:30:00,Alface Roxa,1,67.84,23.72,47.34
2024-12-01,14:30:00,Rúcula,2,64.61,23.72,47.34
2024-12-01,14:30:00,Cebolinha,3,77.52,23.72,47.34
2024-12-01,14:30:00,Couve,4,77.07,23.72,47.34
2024-12-01,15:00:00,Alface Roxa,1,66.85,24.53,57.93
2024-12-01,15:00:00,Rúcula,2,63.66,24.53,57.93
2024-12-01,15:00:00,Cebolinha,3,76.06,24.53,57.93
2024-12-01,15:00:00,Couve,4,75.92,24.53,57.93
2024-12-01,15:30:00,Alface Roxa,1,65.43,23.3,53.09
2024-12-01,15:30:00,Rúcula,2,62.04,23.3,53.09
2024-12-01,15:30:00,Cebolinha,3,74.49,23.3,53.09
2024-12-01,15:30:00,Couve,4,74.9,23.3,53.09
2024-12-01,16:00:00,Alface Roxa,1,62.5,25.55,41.91
2024-12-01,16:00:00,Rúcula,2,59.66,25.55,41.91
2024-12-01,16:00:00,Cebolinha,3,71.75,25.55,41.91
2024-12-01,16:00:00,Couve,4,72.03,25.55,41.91
2024-12-01,16:30:00,Alface Roxa,1,60.55,25.34,42.63
2024-12-01,16:30:00,Rúcula,2,57.0,25.34,42.63
2024-12-01,16:30:00,Cebolinha,3,69.05,25.34,42.63
2024-12-01,16:30:00,Couve,4,68.83,25.34,42.63
2024-12-01,17:00:00,Alface Roxa,1,59.42,23.91,47.78
2024-12-01,17:00:00,Rúcula,2,55.9,23.91,47.78
2024-12-01,17:00:00,Cebolinha,3,67.43,23.91,47.78
2024-12-01,17:00:00,Couve,4,67.01,23.91,47.78
2024-12-01,17:30:00,Alface Roxa,1,55.26,26.67,57.4
2024-12-01,17:30:00,Rúcula,2,52.84,26.67,57.4
2024-12-01,17:30:00,Cebolinha,3,63.55,26.67,57.4
2024-12-01,17:30:00,Couve,4,63.94,26.67,57.4
2024-12-01,18:00:00,Alface Roxa,1,55.05,20.46,83.34
2024-12-01,18:00:00,Rúcula,2,52.39,20.46,83.34
2024-12-01,18:00:00,Cebolinha,3,63.05,20.46,83.34
2024-12-01,18:00:00,Couve,4,63.73,20.46,83.34
2024-12-01,18:30:00,Alface Roxa,1,54.61,20.44,80.8
2024-12-01,18:30:00,Rúcula,2,52.22,20.44,80.8
2024-12-01,18:30:00,Cebolinha,3,62.54,20.44,80.8
2024-12-01,18:30:00,Couve,4,63.2,20.44,80.8
2024-12-01,19:00:00,Alface Roxa,1,54.45,21.04,79.4
2024-12-01,19:00:00,Rúcula,2,51.89,21.04,79.4
2024-12-01,19:00:00,Cebolinha,3,61.97,21.04,79.4
2024-12-01,19:00:00,Couve,4,62.77,21.04,79.4
2024-12-01,19:30:00,Alface Roxa,1,54.1,22.24,87.06
2024-12-01,19:30:00,Rúcula,2,51.48,22.24,87.06
2024-12-01,19:30:00,Cebolinha,3,61.43,22.24,87.06
2024-12-01,19:30:00,Couve,4,62.54,22.24,87.06
2024-12-01,20:00:00,Alface Roxa,1,53.67,22.96,70.19
2024-12-01,20:00:00,Rúcula,2,51.17,22.96,70.19
2024-12-01,20:00:00,Cebolinha,3,61.19,22.96,70.19
2024-12-01,20:00:00,Couve,4,62.13,22.96,70.19
2024-12-01,20:30:00,Alface Roxa,1,53.27,20.69,77.55
2024-12-01,20:30:00,Rúcula,2,51.01,20.69,77.55
2024-12-01,20:30:00,Cebolinha,3,60.66,20.69,77.55
2024-12-01,20:30:00,Couve,4,61.86,20.69,77.55
2024-12-01,21:00:00,Alface Roxa,1,53.03,21.96,80.35
2024-12-01,21:00:00,Rúcula,2,50.67,21.96,80.35
2024-12-01,21:00:00,Cebolinha,3,60.11,21.96,80.35
2024-12-01,21:00:00,Couve,4,61.71,21.96,80.35
2024-12-01,21:30:00,Alface Roxa,1,52.33,21.8,87.3
2024-12-01,21:30:00,Rúcula,2,50.36,21.8,87.3
2024-12-01,21:30:00,Cebolinha,3,59.77,21.8,87.3
2024-12-01,21:30:00,Couve,4,61.49,21.8,87.3
2024-12-01,22:00:00,Alface Roxa,1,51.71,21.8,75.35
2024-12-01,22:00:00,Rúcula,2,49.78,21.8,75.35
2024-12-01,22:00:00,Cebolinha,3,59.38,21.8,75.35
2024-12-01,22:00:00,Couve,4,60.77,21.8,75.35
2024-12-01,22:30:00,Alface Roxa,1,51.31,22.72,71.01
2024-12-01,22:30:00,Rúcula,2,49.47,22.72,71.01
2024-12-01,22:30:00,Cebolinha,3,59.0,22.72,71.01
2024-12-01,22:30:00,Couve,4,60.61,22.72,71.01
2024-12-01,23:00:00,Alface Roxa,1,50.7,20.46,70.44
2024-12-01,23:00:00,Rúcula,2,49.28,20.46,70.44
2024-12-01,23:00:00,Cebolinha,3,58.64,20.46,70.44
2024-12-01,23:00:00,Couve,4,59.84,20.46,70.44
2024-12-01,23:30:00,Alface Roxa,1,50.51,21.51,81.48
2024-12-01,23:30:00,Rúcula,2,48.81,21.51,81.48
2024-12-01,23:30:00,Cebolinha,3,58.36,21.51,81.48
2024-12-01,23:30:00,Couve,4,59.52,21.51,81.48
2024-12-02,00:00:00,Alface Roxa,1,50.06,23.15,82.86
2024-12-02,00:00:00,Rúcula,2,48.31,23.15,82.86
2024-12-02,00:00:00,Cebolinha,3,57.99,23.15,82.86
2024-12-02,00:00:00,Couve,4,58.8,23.15,82.86
2024-12-02,00:30:00,Alface Roxa,1,49.51,23.01,76.91
2024-12-02,00:30:00,Rúcula,2,47.8,23.01,76.91
2024-12-02,00:30:00,Cebolinha,3,57.31,23.01,76.91
2024-12-02,00:30:00,Couve,4,57.92,23.01,76.91
2024-12-02,01:00:00,Alface Roxa,1,49.23,22.38,82.87
2024-12-02,01:00:00,Rúcula,2,47.34,22.38,82.87
2024-12-02,01:00:00,Cebolinha,3,56.68,22.38,82.87
2024-12-02,01:00:00,Couve,4,57.08,22.38,82.87
2024-12-02,01:30:00,Alface Roxa,1,48.6,20.16,79.12
2024-12-02,01:30:00,Rúcula,2,47.03,20.16,79.12
2024-12-02,01:30:00,Cebolinha,3,56.28,20.16,79.12
2024-12-02,01:30:00,Couve,4,56.56,20.16,79.12
2024-12-02,02:00:00,Alface Roxa,1,47.9,20.35,70.34
2024-12-02,02:00:00,Rúcula,2,46.61,20.35,70.34
2024-12-02,02:00:00,Cebolinha,3,55.4,20.35,70.34
2024-12-02,02:00:00,Couve,4,56.15,20.35,70.34
2024-12-02,02:30:00,Alface Roxa,1,47.07,22.86,76.81
2024-12-02,02:30:00,Rúcula,2,46.32,22.86,76.81
2024-12-02,02:30:00,Cebolinha,3,54.98,22.86,76.81
2024-12-02,02:30:00,Couve,4,55.21,22.86,76.81
2024-12-02,03:00:00,Alface Roxa,1,46.63,22.71,75.57
2024-12-02,03:00:00,Rúcula,2,46.03,22.71,75.57
2024-12-02,03:00:00,Cebolinha,3,54.2,22.71,75.57
2024-12-02,03:00:00,Couve,4,54.43,22.71,75.57
2024-12-02,03:30:00,Alface Roxa,1,46.02,20.55,72.88
2024-12-02,03:30:00,Rúcula,2,45.6,20.55,72.88
2024-12-02,03:30:00,Cebolinha,3,53.77,20.55,72.88
2024-12-02,03:30:00,Couve,4,53.63,20.55,72.88
2024-12-02,04:00:00,Alface Roxa,1,45.39,23.91,83.34
2024-12-02,04:00:00,Rúcula,2,45.38,23.91,83.34
2024-12-02,04:00:00,Cebolinha,3,53.37,23.91,83.34
2024-12-02,04:00:00,Couve,4,53.02,23.91,83.34
2024-12-02,04:30:00,Alface Roxa,1,44.79,21.53,81.84
2024-12-02,04:30:00,Rúcula,2,44.75,21.53,81.84
2024-12-02,04:30:00,Cebolinha,3,52.8,21.53,81.84
2024-12-02,04:30:00,Couve,4,52.28,21.53,81.84
2024-12-02,05:00:00,Alface Roxa,1,44.33,22.48,82.2
2024-12-02,05:00:00,Rúcula,2,44.01,22.48,82.2
2024-12-02,05:00:00,Cebolinha,3,52.39,22.48,82.2
2024-12-02,05:00:00,Couve,4,51.99,22.48,82.2
2024-12-02,05:30:00,Alface Roxa,1,43.35,22.33,81.25
2024-12-02,05:30:00,Rúcula,2,43.3,22.33,81.25
2024-12-02,05:30:00,Cebolinha,3,52.02,22.33,81.25
2024-12-02,05:30:00,Couve,4,51.47,22.33,81.25
2024-12-02,06:00:00,Alface Roxa,1,42.37,24.88,65.21
2024-12-02,06:00:00,Rúcula,2,42.26,24.88,65.21
2024-12-02,06:00:00,Cebolinha,3,50.93,24.88,65.21
2024-12-02,06:00:00,Couve,4,50.8,24.88,65.21
2024-12-02,06:30:00,Alface Roxa,1,41.96,26.0,65.27
2024-12-02,06:30:00,Rúcula,2,42.03,26.0,65.27
2024-12-02,06:30:00,Cebolinha,3,50.64,26.0,65.27
2024-12-02,06:30:00,Couve,4,50.21,26.0,65.27
2024-12-02,07:00:00,Alface Roxa,1,80.2,25.33,63.08
2024-12-02,07:00:00,Rúcula,2,73.21,25.33,63.08
2024-12-02,07:00:00,Cebolinha,3,89.82,25.33,63.08
2024-12-02,07:00:00,Couve,4,76.56,25.33,63.08
2024-12-02,07:30:00,Alface Roxa,1,80.07,25.51,67.11
2024-12-02,07:30:00,Rúcula,2,73.02,25.51,67.11
2024-12-02,07:30:00,Cebolinha,3,89.71,25.51,67.11
2024-12-02,07:30:00,Couve,4,76.38,25.51,67.11
2024-12-02,08:00:00,Alface Roxa,1,79.84,25.83,72.42
2024-12-02,08:00:00,Rúcula,2,72.62,25.83,72.42
2024-12-02,08:00:00,Cebolinha,3,89.31,25.83,72.42
2024-12-02,08:00:00,Couve,4,75.98,25.83,72.42
2024-12-02,08:30:00,Alface Roxa,1,79.56,24.96,66.4
2024-12-02,08:30:00,Rúcula,2,72.46,24.96,66.4
2024-12-02,08:30:00,Cebolinha,3,89.12,24.96,66.4
2024-12-02,08:30:00,Couve,4,75.76,24.96,66.4
2024-12-02,09:00:00,Alface Roxa,1,79.07,25.06,75.64
2024-12-02,09:00:00,Rúcula,2,71.87,25.06,75.64
2024-12-02,09:00:00,Cebolinha,3,88.6,25.06,75.64
2024-12-02,09:00:00,Couve,4,75.03,25.06,75.64
2024-12-02,09:30:00,Alface Roxa,1,78.56,25.48,69.5
2024-12-02,09:30:00,Rúcula,2,71.29,25.48,69.5
2024-12-02,09:30:00,Cebolinha,3,87.86,25.48,69.5
2024-12-02,09:30:00,Couve,4,74.53,25.48,69.5
2024-12-02,10:00:00,Alface Roxa,1,78.0,24.71,72.3
2024-12-02,10:00:00,Rúcula,2,70.97,24.71,72.3
2024-12-02,10:00:00,Cebolinha,3,87.38,24.71,72.3
2024-12-02,10:00:00,Couve,4,74.11,24.71,72.3
2024-12-02,10:30:00,Alface Roxa,1,77.34,24.22,77.86
2024-12-02,10:30:00,Rúcula,2,70.5,24.22,77.86
2024-12-02,10:30:00,Cebolinha,3,86.94,24.22,77.86
2024-12-02,10:30:00,Couve,4,73.64,24.22,77.86
2024-12-02,11:00:00,Alface Roxa,1,76.42,25.17,67.51
2024-12-02,11:00:00,Rúcula,2,69.11,25.17,67.51
2024-12-02,11:00:00,Cebolinha,3,85.96,25.17,67.51
2024-12-02,11:00:00,Couve,4,72.13,25.17,67.51
2024-12-02,11:30:00,Alface Roxa,1,75.16,25.42,74.22
2024-12-02,11:30:00,Rúcula,2,68.04,25.42,74.22
2024-12-02,11:30:00,Cebolinha,3,84.7,25.42,74.22
2024-12-02,11:30:00,Couve,4,71.01,25.42,74.22
2024-12-02,12:00:00,Alface Roxa,1,73.65,25.46,49.57
2024-12-02,12:00:00,Rúcula,2,66.91,25.46,49.57
2024-12-02,12:00:00,Cebolinha,3,83.6,25.46,49.57
2024-12-02,12:00:00,Couve,4,69.72,25.46,49.57
2024-12-02,12:30:00,Alface Roxa,1,71.6,26.44,50.63
2024-12-02,12:30:00,Rúcula,2,65.54,26.44,50.63
2024-12-02,12:30:00,Cebolinha,3,81.51,26.44,50.63
2024-12-02,12:30:00,Couve,4,68.02,26.44,50.63
2024-12-02,13:00:00,Alface Roxa,1,70.05,26.89,53.03
2024-12-02,13:00:00,Rúcula,2,64.04,26.89,53.03
2024-12-02,13:00:00,Cebolinha,3,79.84,26.89,53.03
2024-12-02,13:00:00,Couve,4,66.05,26.89,53.03
2024-12-02,13:30:00,Alface Roxa,1,67.68,27.63,50.78
2024-12-02,13:30:00,Rúcula,2,61.63,27.63,50.78
2024-12-02,13:30:00,Cebolinha,3,77.49,27.63,50.78
2024-12-02,13:30:00,Couve,4,63.86,27.63,50.78
2024-12-02,14:00:00,Alface Roxa,1,66.2,26.94,55.72
2024-12-02,14:00:00,Rúcula,2,58.96,26.94,55.72
2024-12-02,14:00:00,Cebolinha,3,75.96,26.94,55.72
2024-12-02,14:00:00,Couve,4,61.38,26.94,55.72
2024-12-02,14:30:00,Alface Roxa,1,63.69,27.25,46.24
2024-12-02,14:30:00,Rúcula,2,56.83,27.25,46.24
2024-12-02,14:30:00,Cebolinha,3,74.14,27.25,46.24
2024-12-02,14:30:00,Couve,4,58.93,27.25,46.24
2024-12-02,15:00:00,Alface Roxa,1,61.08,26.23,54.65
2024-12-02,15:00:00,Rúcula,2,54.61,26.23,54.65
2024-12-02,15:00:00,Cebolinha,3,71.97,26.23,54.65
2024-12-02,15:00:00,Couve,4,56.05,26.23,54.65
2024-12-02,15:30:00,Alface Roxa,1,58.67,27.54,47.33
2024-12-02,15:30:00,Rúcula,2,52.65,27.54,47.33
2024-12-02,15:30:00,Cebolinha,3,69.46,27.54,47.33
2024-12-02,15:30:00,Couve,4,54.0,27.54,47.33
2024-12-02,16:00:00,Alface Roxa,1,57.08,24.71,41.47
2024-12-02,16:00:00,Rúcula,2,51.04,24.71,41.47
2024-12-02,16:00:00,Cebolinha,3,67.95,24.71,41.47
2024-12-02,16:00:00,Couve,4,52.62,24.71,41.47
2024-12-02,16:30:00,Alface Roxa,1,53.35,25.48,43.67
2024-12-02,16:30:00,Rúcula,2,49.08,25.48,43.67
2024-12-02,16:30:00,Cebolinha,3,65.63,25.48,43.67
2024-12-02,16:30:00,Couve,4,50.51,25.48,43.67
2024-12-02,17:00:00,Alface Roxa,1,50.81,27.08,57.89
2024-12-02,17:00:00,Rúcula,2,47.05,27.08,57.89
2024-12-02,17:00:00,Cebolinha,3,62.92,27.08,57.89
2024-12-02,17:00:00,Couve,4,47.64,27.08,57.89
2024-12-02,17:30:00,Alface Roxa,1,49.36,24.87,56.29
2024-12-02,17:30:00,Rúcula,2,45.03,24.87,56.29
2024-12-02,17:30:00,Cebolinha,3,61.53,24.87,56.29
2024-12-02,17:30:00,Couve,4,45.61,24.87,56.29
2024-12-02,18:00:00,Alface Roxa,1,48.99,21.39,88.81
2024-12-02,18:00:00,Rúcula,2,44.89,21.39,88.81
2024-12-02,18:00:00,Cebolinha,3,61.17,21.39,88.81
2024-12-02,18:00:00,Couve,4,45.45,21.39,88.81
2024-12-02,18:30:00,Alface Roxa,1,48.78,23.49,73.99
2024-12-02,18:30:00,Rúcula,2,44.38,23.49,73.99
2024-12-02,18:30:00,Cebolinha,3,60.72,23.49,73.99
2024-12-02,18:30:00,Couve,4,44.88,23.49,73.99
2024-12-02,19:00:00,Alface Roxa,1,48.31,21.81,81.3
2024-12-02,19:00:00,Rúcula,2,43.85,21.81,81.3
2024-12-02,19:00:00,Cebolinha,3,60.33,21.81,81.3
2024-12-02,19:00:00,Couve,4,44.33,21.81,81.3
2024-12-02,19:30:00,Alface Roxa,1,47.75,20.96,85.42
2024-12-02,19:30:00,Rúcula,2,43.51,20.96,85.42
2024-12-02,19:30:00,Cebolinha,3,60.13,20.96,85.42
2024-12-02,19:30:00,Couve,4,43.88,20.96,85.42
2024-12-02,20:00:00,Alface Roxa,1,47.16,23.57,71.45
2024-12-02,20:00:00,Rúcula,2,43.0,23.57,71.45
2024-12-02,20:00:00,Cebolinha,3,59.81,23.57,71.45
2024-12-02,20:00:00,Couve,4,43.3,23.57,71.45
2024-12-02,20:30:00,Alface Roxa,1,46.59,23.38,84.11
2024-12-02,20:30:00,Rúcula,2,42.61,23.38,84.11
2024-12-02,20:30:00,Cebolinha,3,59.3,23.38,84.11
2024-12-02,20:30:00,Couve,4,42.98,23.38,84.11
2024-12-02,21:00:00,Alface Roxa,1,46.3,20.71,81.01
2024-12-02,21:00:00,Rúcula,2,42.18,20.71,81.01
2024-12-02,21:00:00,Cebolinha,3,58.73,20.71,81.01
2024-12-02,21:00:00,Couve,4,42.57,20.71,81.01
2024-12-02,21:30:00,Alface Roxa,1,46.14,20.23,79.07
2024-12-02,21:30:00,Rúcula,2,41.51,20.23,79.07
2024-12-02,21:30:00,Cebolinha,3,58.01,20.23,79.07
2024-12-02,21:30:00,Couve,4,41.92,20.23,79.07
2024-12-02,22:00:00,Alface Roxa,1,45.72,22.54,82.28
2024-12-02,22:00:00,Rúcula,2,41.35,22.54,82.28
2024-12-02,22:00:00,Cebolinha,3,57.66,22.54,82.28
2024-12-02,22:00:00,Couve,4,41.72,22.54,82.28
2024-12-02,22:30:00,Alface Roxa,1,45.43,23.69,85.65
2024-12-02,22:30:00,Rúcula,2,41.19,23.69,85.65
2024-12-02,22:30:00,Cebolinha,3,57.48,23.69,85.65
2024-12-02,22:30:00,Couve,4,41.05,23.69,85.65
2024-12-02,23:00:00,Alface Roxa,1,45.16,22.55,78.72
2024-12-02,23:00:00,Rúcula,2,40.77,22.55,78.72
2024-12-02,23:00:00,Cebolinha,3,57.16,22.55,78.72
2024-12-02,23:00:00,Couve,4,40.64,22.55,78.72
2024-12-02,23:30:00,Alface Roxa,1,44.4,21.65,85.18
2024-12-02,23:30:00,Rúcula,2,40.04,21.65,85.18
2024-12-02,23:30:00,Cebolinha,3,56.61,21.65,85.18
2024-12-02,23:30:00,Couve,4,39.97,21.65,85.18
2024-12-03,00:00:00,Alface Roxa,1,43.6,22.38,82.81
2024-12-03,00:00:00,Rúcula,2,39.4,22.38,82.81
2024-12-03,00:00:00,Cebolinha,3,56.36,22.38,82.81
2024-12-03,00:00:00,Couve,4,39.26,22.38,82.81
2024-12-03,00:30:00,Alface Roxa,1,42.87,22.97,88.53
2024-12-03,00:30:00,Rúcula,2,38.92,22.97,88.53
2024-12-03,00:30:00,Cebolinha,3,55.66,22.97,88.53
2024-12-03,00:30:00,Couve,4,38.99,22.97,88.53
2024-12-03,01:00:00,Alface Roxa,1,42.6,23.54,88.87
2024-12-03,01:00:00,Rúcula,2,38.55,23.54,88.87
2024-12-03,01:00:00,Cebolinha,3,54.88,23.54,88.87
2024-12-03,01:00:00,Couve,4,38.39,23.54,88.87
2024-12-03,01:30:00,Alface Roxa,1,41.95,22.19,85.5
2024-12-03,01:30:00,Rúcula,2,37.68,22.19,85.5
2024-12-03,01:30:00,Cebolinha,3,54.37,22.19,85.5
2024-12-03,01:30:00,Couve,4,38.13,22.19,85.5
2024-12-03,02:00:00,Alface Roxa,1,41.12,22.49,77.58
2024-12-03,02:00:00,Rúcula,2,37.02,22.49,77.58
2024-12-03,02:00:00,Cebolinha,3,53.46,22.49,77.58
2024-12-03,02:00:00,Couve,4,37.21,22.49,77.58
2024-12-03,02:30:00,Alface Roxa,1,40.17,20.76,70.32
2024-12-03,02:30:00,Rúcula,2,36.1,20.76,70.32
2024-12-03,02:30:00,Cebolinha,3,53.04,20.76,70.32
2024-12-03,02:30:00,Couve,4,36.67,20.76,70.32
2024-12-03,03:00:00,Alface Roxa,1,39.68,22.52,80.87
2024-12-03,03:00:00,Rúcula,2,35.81,22.52,80.87
2024-12-03,03:00:00,Cebolinha,3,52.61,22.52,80.87
2024-12-03,03:00:00,Couve,4,36.11,22.52,80.87
2024-12-03,03:30:00,Alface Roxa,1,38.95,21.83,81.41
2024-12-03,03:30:00,Rúcula,2,35.36,21.83,81.41
2024-12-03,03:30:00,Cebolinha,3,51.79,21.83,81.41
2024-12-03,03:30:00,Couve,4,35.46,21.83,81.41
2024-12-03,04:00:00,Alface Roxa,1,38.61,21.13,76.92
